,LRT,MRT,Transjakarta
Februari,-3.9484786021723575,-17.18119156268947,-7.849160989912522
Maret,2.3016879044632734,10.829721345528231,5.540662405096288
April,-8.078996565366724,-9.333058912040096,-10.584754899282174
Mei,14.164429887313618,21.77488128397364,19.03461331494316
Juni,6.377006732263076,9.407759751014872,-1.2620118233506976
Juli,28.96491962573145,8.913292432007566,12.289210683347752
Agustus,-2.5487709126049403,-1.196119587647391,-6.732659329160036
September,-25.140997830802604,-4.880725268676719,-2.170904244257742
