,LRT,MRT,Transjakarta
Oktober,120990.05555555555,3866299.027777778,34165085.888888896
November,124797.82222222222,3996375.277777778,34751920.15555556
Desember,128605.58888888889,4126451.527777778,35338754.42222223
Januari 2025,132413.35555555555,4256527.777777778,35925588.68888889
Februari 2025,136221.1222222222,4386604.027777778,36512422.95555556
Maret 2025,140028.88888888888,4516680.277777778,37099257.222222224
