Jumlah Penumpang,,,,,,,,,,,,,
,Jumlah Penumpang Bus Transjakarta Menurut Bulan (Orang),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jumlah Penumpang,30934491,28506393,30085836,26901324,32021887,31617767,35503341,33113022,32394170,-,-,-,-
