Jumlah Penumpang,,,,,,,,,,,,,
,Jumlah Penumpang Mass Rapid Transit (MRT) Jakarta (Orang),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jumlah Penumpang,3133700,2595293,2876356,2607904,3175772,3474541,3784237,3738973,3556484,-,-,-,-
